OBJECTID,IDNum,POINT_X,POINT_Y,sampled_X,sampled_Y,SpawningYear,Stream_Order,Reach_Name,Survey_Length__mi_,Survey_Length__km_,CohoAdultAUC,AUC_mi,AUC_km,ChildNode,ParentNode,SegmentID,Population,Length_m,Length_km,NodeID,Node_WGSX,Node_WGSY,Coho_distr,land_cover
1,12.000000000000000,-123.595622722999963,45.599781736000068,-123.595622722999963,45.599781736000068,2011,1,"Cedar Cr, Trib A",0.680000007000000,1.094351212000000,74,108.823528300000007,67.619973569999999,472,499,472,Tillamook,549.411254969999959,0.549411254970000,472,-123.592253458000002,45.602461376999997,0,Forest & Woodland
2,72.000000000000000,-123.373446586999989,46.027132395000081,-123.373446586999989,46.027132395000081,2013,2,"Fishhawk Cr, Trib 1 (Warner Cr)",0.439999998000000,0.708109596000000,10,22.727272849999999,14.122107730000000,217,235,217,Nehalem,689.116882454000006,0.689116882454000,217,-123.375308267999998,46.027621013999998,1,Recently Disturbed or Modified
3,73.000000000000000,-123.416949692999992,45.899270039000044,-123.416949692999992,45.899270039000044,2010,1,"Buster Cr, Trib C",0.370000005000000,0.595455808000000,60,162.162160099999994,100.763145199999997,1139,1124,1139,Nehalem,544.264068712000039,0.544264068712000,1139,-123.415470619000004,45.898926111999998,1,Forest & Woodland
4,85.000000000000000,-123.200881460999994,45.992787842000041,-123.200881460999994,45.992787842000041,2017,1,Mud Fork Battle Cr,0.490000010000000,0.788576615000000,2,4.081632574000000,2.536215202000000,690,704,690,Nehalem,2264.299782090000008,2.264299782090000,690,-123.186971712000002,46.002357377000003,1,Recently Disturbed or Modified
5,132.000000000000000,-123.921561161999989,45.140622041000029,-123.921561161999989,45.140622041000029,2011,2,Bowers Cr,1.409999967000000,2.269169346000000,3,2.127659625000000,1.322069684000000,1182,1161,1182,Nestucca,711.837661840999999,0.711837661841000,1182,-123.921058341000005,45.136654380000003,1,Forest & Woodland
6,133.000000000000000,-123.916024111999945,45.150977868000041,-123.916024111999945,45.150977868000041,2001,2,Bowers Cr,1.409999967000000,2.269169346000000,3,2.127659625000000,1.322069684000000,1150,1100,1150,Nestucca,1031.543289330000107,1.031543289330000,1150,-123.917864890999994,45.144099021000002,1,Agricultural & Developed Vegetation
7,134.000000000000000,-123.884921685999984,45.141903307000064,-123.884921685999984,45.141903307000064,1998,3,Fall Cr,0.458849996000000,0.738445653000000,5,10.896807320000001,6.770978987000000,1209,1211,1209,Nestucca,429.411254970000016,0.429411254970000,1209,-123.883672453000003,45.144357186000001,1,Forest & Woodland
8,135.000000000000000,-123.897578527999940,45.141183067000043,-123.897578527999940,45.141183067000043,2000,3,Fall Cr,0.810000002000000,1.303565404000000,0,0.000000000000000,0.000000000000000,1216,1187,1216,Nestucca,1278.822509939999918,1.278822509940000,1216,-123.887463947000001,45.140167232000003,1,Forest & Woodland
9,137.000000000000000,-123.881956695999975,45.145005812000079,-123.881956695999975,45.145005812000079,2003,2,"Fall Cr, Trib A",0.600000024000000,0.965604038000000,4,6.666666402000000,4.142484746000000,1226,1189,1226,Nestucca,1083.380951169999889,1.083380951170000,1226,-123.871409959000005,45.139930562000004,1,Forest & Woodland
10,140.000000000000000,-123.897614744999942,45.132083675000047,-123.897614744999942,45.132083675000047,2005,1,Kellow Cr,0.400000006000000,0.643736010000000,3,7.499999888000000,4.660295455000000,1272,1234,1272,Nestucca,2995.218613009999899,2.995218613010000,1272,-123.913686822000003,45.118507622999999,1,Forest & Woodland
11,140.000000000000000,-123.897614744999942,45.132083675000047,-123.897614744999942,45.132083675000047,2014,1,Kellow Cr,0.400000006000000,0.643736010000000,4,9.999999851000000,6.213727274000000,1272,1234,1272,Nestucca,2995.218613009999899,2.995218613010000,1272,-123.913686822000003,45.118507622999999,1,Forest & Woodland
12,147.000000000000000,-123.853183825999963,45.128432274000033,-123.853183825999963,45.128432274000033,2006,2,Bear Cr,0.980000019000000,1.577153231000000,32,32.653060590000003,20.289721620000002,1287,1290,1287,Nestucca,724.264068712000039,0.724264068712000,1287,-123.852406201999997,45.129053106999997,1,Forest & Woodland
13,148.000000000000000,-123.862079768999990,45.122764905000054,-123.862079768999990,45.122764905000054,2000,2,Bear Cr,0.800000012000000,1.287472019000000,4,4.999999925000000,3.106863637000000,1303,1301,1303,Nestucca,1346.101730549999957,1.346101730550000,1303,-123.860473382999999,45.123670906999997,1,Recently Disturbed or Modified
14,153.000000000000000,-123.847078264999993,45.088570459000039,-123.847078264999993,45.088570459000039,1998,2,"Little Nestucca R, S Fk",0.430000007000000,0.692016212000000,0,0.000000000000000,0.000000000000000,1378,1374,1378,Nestucca,217.279220613999996,0.217279220614000,1378,-123.846465695999996,45.088068866000000,1,Forest & Woodland
